run,t_end_days,a_au_before,ecc_before,obliquity_deg_before,lon_perihelion_deg_before,a_au_after,ecc_after,obliquity_deg_after,lon_perihelion_deg_after,days_per_year_after,bound_after
20260724_230314__rp0p25__vinf25__inc90__toff56210__Om0__om0,112420.0,0.9998140247023733,0.017167649604326714,23.457328703108857,282.290618264423,1.780937562963534,0.38283135641723276,24.382930559217197,82.6612123605276,868.1021490952062,True
20260724_230314__rp0p25__vinf25__inc90__toff56210__Om0__om180,112420.0,0.9998140247023889,0.017167649604323012,23.457328703109,282.2906182643991,0.7332199712101505,0.3607954723633659,21.781205286228733,246.01498126001826,229.32384708930823,True
20260724_230314__rp0p25__vinf25__inc90__toff56210__Om0__om270,112420.0,0.9998140247023902,0.017167649604324868,23.457328703109116,282.29061826439124,1.1428434544752837,0.057809558395824315,27.278519488650698,74.62571223619328,446.24967029177947,True
20260724_230314__rp0p25__vinf25__inc90__toff56210__Om0__om90,112420.0,0.9998140247024035,0.01716764960431945,23.457328703109116,282.290618264377,1.1221360414332968,0.18115244392520935,26.03989992720594,186.95823847639178,434.17624434300086,True
20260724_230314__rp0p25__vinf25__inc90__toff56210__Om180__om0,112420.0,0.9998140247023867,0.017167649604321378,23.45732870310889,282.29061826440756,0.7962940912007014,0.350715286915684,25.235149287502015,254.40013199182727,259.54222894376164,True
20260724_230314__rp0p25__vinf25__inc90__toff56210__Om180__om180,112420.0,0.9998140247023756,0.0171676496043284,23.457328703109,282.2906182644134,2.071027549738594,0.5164560335179849,21.051442900993376,86.56618961973247,1088.6207411301898,True
20260724_230314__rp0p25__vinf25__inc90__toff56210__Om180__om270,112420.0,0.9998140247023902,0.017167649604324795,23.45732870310913,282.2906182643913,1.2249491822118732,0.20744323321071864,30.77440117412517,59.22037185959522,495.19345790379026,True
20260724_230314__rp0p25__vinf25__inc90__toff56210__Om180__om90,112420.0,0.9998140247023902,0.017167649604324816,23.457328703109116,282.2906182643913,1.1027005296513963,0.16891231104419788,24.43626489934824,197.61474155354526,422.94526291488734,True
20260724_230314__rp0p25__vinf25__inc90__toff56210__Om270__om0,112420.0,0.9998140247023818,0.017167649604325368,23.457328703108875,282.2906182644093,1.1542094019599605,0.13617028250534402,25.999912561857062,20.428496945486234,452.9233406012121,True
20260724_230314__rp0p25__vinf25__inc90__toff56210__Om270__om180,112420.0,0.9998140247023798,0.01716764960432296,23.45732870310903,282.29061826441637,0.9460794330093055,0.2761521881740977,22.289962290968443,173.52159773691557,336.1160045791088,True
