run,body,state,a_sun_au,e_sun,a_bh_au,e_bh,r_from_bh_au,period_bh_days
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om270,Mercury,CAPTURED,,,11.694636912212733,0.971926485866283,17.54831505977159,46193.21421189714
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om270,Moon,solar,0.820126472267405,0.14882454869178183,,,820.5100383564624,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om270,Neptune,solar,24.732044590646115,0.6382118755745232,,,811.9420357056499,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om270,Saturn,solar,9.308824188398539,0.29432735048514125,,,829.1109386585498,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om270,Uranus,free,,,,,758.1136724509747,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om270,Venus,solar,0.6076458380934427,0.14314965480593594,,,820.3448080480308,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om285,Earth,solar,0.8133134192848623,0.17266151583900594,,,821.2021728787512,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om285,Jupiter,solar,3.2881273075894564,0.507742461189798,,,824.5906389852631,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om285,Mars,solar,2.1931948759469244,0.3617632092255408,,,819.1260820689823,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om285,Mercury,CAPTURED,,,0.19976864287307228,0.5907586249573301,0.3126876775059951,103.130956867045
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om285,Moon,solar,0.8215940268449968,0.1894853866041108,,,821.2001800079981,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om285,Neptune,solar,20.263407178813516,0.7062354626282421,,,849.7637471821421,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om285,Saturn,solar,11.030902858785566,0.28102145799172257,,,823.0077588154298,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om285,Uranus,free,,,,,761.1783575930167,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om285,Venus,solar,0.6138580599676038,0.13595389928136117,,,820.1799882971208,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om30,Earth,solar,1.3656295367286049,0.19408717547899748,,,819.1859621386155,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om30,Jupiter,solar,4.8437108472695805,0.2291512941454622,,,824.2622487697098,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om30,Mars,solar,0.9772312032964826,0.5527142734808788,,,820.3569058493839,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om30,Mercury,solar,0.42062727081251533,0.5414736512960917,,,819.8149565474995,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om30,Moon,solar,1.4829927643482297,0.15534656300235894,,,819.1852777039121,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om30,Neptune,solar,29.641025818853166,0.6066597257583941,,,800.8206624368631,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om30,Saturn,free,,,,,784.3695984522625,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om30,Uranus,solar,12.59619501408762,0.7019404545338757,,,830.3523547698312,
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om30,Venus,solar,1.091207670469894,0.2437215762806627,,,820.1753873344204,
