run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,land_summer_max_degC,land_winter_min_degC,land_seasonal_range_K,ocean_summer_max_degC,ocean_seasonal_range_K,dT_vs_baseline_K,dland_summer_max_vs_baseline_K,ddiag_summer_max_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om180__om0,0.7278003749144271,0.3477972989469803,24.212242188321987,259.09289099970005,226.7859800121821,130.4606713068254,403.61067130682534,90.0,False,631.4209161574748,51,685.1252862851551,130.4607076362216,130.46063497742918,97.19823691165064,81.38580493098519,15.812431980665451,103.7352438733272,75.8186636910279,27.916580182299313,89.92563244679972,3.4798849848975237,115.14393829115248,89.15916928880597,92.09912277575575,5.396737817814231,1,0.25,30.0,180.0,0.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om180__om180,1.6461932221223652,0.319234394887897,23.39853775065705,94.0990989604158,771.4699321542009,-73.18342829806186,199.9665717019381,,True,391.5671757187843,17,132.48805665626975,-73.18343247010431,-73.18342412601939,-64.61171404903659,-81.52378878190149,16.912074732864895,-56.13138673200608,-83.29969134333973,27.168304611333653,-71.49678169904759,8.837409846187569,-88.50016131373476,-70.70746131652731,-69.71082818493149,4.789768867145566,0,0.25,30.0,180.0,180.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om180__om270,1.0803905018860556,0.2061032613885255,28.11224587752384,146.30759838550992,410.1747542758503,-43.10917768949461,230.04082231050538,,True,695.0014201140671,49,297.89441708566847,-43.10919281906463,-43.10916255992458,-32.15860853858092,-57.220256755907855,25.061648217326933,-19.58634000822363,-62.40014275260351,42.81380274437988,-43.85820508394027,9.600264422282436,-58.425910705167524,-34.16241459274487,-37.25772267447581,3.547084357650361,1,0.25,30.0,180.0,270.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om180__om90,1.167996042347918,0.0752865195239307,22.6958196652158,83.68669783093786,461.0625492315246,-51.79516253160809,221.35483746839188,,True,411.9947349314185,28,250.12073511618073,-51.79517562207435,-51.79514944114185,-49.10947158731014,-63.9404998896441,14.831028302333962,-42.63976679562907,-67.6568583324647,25.017091536835622,-54.29205389981495,6.877663564542999,-67.11189554728101,-57.21584138015031,-54.208585723205026,3.5845675516084365,0,0.25,30.0,180.0,90.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om270__om0,1.2075255995643623,0.1114581190322099,25.131055101016656,45.3437463807016,484.6657274703983,-54.578738126217864,218.5712618737821,,True,431.1107856547281,26,234.81181094419435,-54.578750545647196,-54.57872570678853,-50.61233362868995,-66.47245082256254,15.860117193872583,-43.42565569528749,-70.14130973632503,26.71565404103754,-56.120634382716105,7.588743093227755,-69.89547114189078,-58.001730279808726,-55.71144776458484,3.981606316433883,0,0.25,30.0,270.0,0.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om270__om180,0.9438006279567466,0.2684068964360735,25.14277799667831,180.38918895578695,334.9023409968352,34.41613222652032,307.56613222652027,90.0,False,775.7896232511265,31,396.52768192306996,34.40931213240537,34.42295232063528,38.271303522975465,-2.3132905095497907,40.58459403252525,59.30356402350166,-11.685046169502519,70.98861019300418,17.175801847399807,12.245184192456692,19.099399210847405,44.72748943898042,33.17218938708058,5.020044551764386,2,0.25,30.0,270.0,180.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om270__om270,0.901325829838077,0.1349955284600514,27.916761699446223,289.88101028579,312.55072884777525,42.84121635624381,315.9912163562438,90.0,False,562.4946957105815,34,422.6961071520131,42.84248583133421,42.839946881153416,28.542744263253645,4.538357570958282,24.004386692295363,37.01481378461953,-5.457645196269184,42.47245898088871,22.387358930973964,9.23855139236696,27.5244833405709,22.43873920009829,23.44363012735876,4.0717622816179535,1,0.25,30.0,270.0,270.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om270__om90,1.4103001899946852,0.2002567632215497,26.191654805935755,111.8277044159024,611.7375465814735,-65.52533987616403,207.62466012383595,,True,417.3649758230646,21,174.60739622237966,-65.52534608099946,-65.5253336713286,-58.343781230094564,-75.02633830319745,16.682557073102885,-50.59637796335862,-77.68299410014124,27.086616136782624,-64.75319671047747,8.448809595129163,-80.84207289183693,-65.17245254787986,-63.44289536598945,4.541338453036087,0,0.25,30.0,270.0,90.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om90__om0,1.1263574205131002,0.3157697218069617,27.551812193676103,172.12100027862962,436.6285474924404,-45.88015874650563,227.26984125349435,,True,687.9869606735648,33,282.6536489484409,-45.88017391567292,-45.88014357733833,-33.25494134375518,-58.66567111596252,25.41072977220734,-19.939705516550234,-63.13201699498005,43.192311478429815,-46.27176742873901,9.30740425628197,-61.19689176217854,-34.51578010107147,-38.354055479650064,5.093274128922198,2,0.25,30.0,90.0,0.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om90__om180,1.24501658888183,0.1468277402997767,19.707404347380397,50.54433436098866,507.4117239193752,-56.923933426237845,216.22606657376213,,True,369.53809534881566,25,221.9118018851442,-56.92394294795344,-56.92392390452226,-54.45552058214395,-68.18417204023096,13.728651458087015,-48.05862458727299,-71.21062354521293,23.151998957939938,-59.36608507461133,6.58164654185159,-72.24066644191076,-62.634699171794225,-59.554634718038834,4.398244016536854,0,0.25,30.0,90.0,180.0
