run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,absorbed_mean_Wm2,runaway,dT_vs_baseline_K,ddiag_summer_max_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om255,0.9580410690761348,0.0487336657627661,29.467453646411503,165.1284561031861,342.5105715027336,25.575828339062234,298.7258283390622,90.0,False,679.0728845637511,21,371.14722012531644,25.577776835774966,25.573879842349484,12.837986040940443,-3.252697875647998,16.09068391658844,256.75359466547746,False,10.53093255751576,14.486203075500812,2.0714348516247787,0,1.0,30.0,180.0,255.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om270,1.193685508897959,0.2878144004834622,27.42166467315816,155.33920216088944,476.3571330904039,-51.93703985004633,221.21296014995363,,True,639.4706298846007,19,249.34178146846688,-51.9370398505813,-51.937039849511365,-50.11008249371652,-62.21962667292479,12.109544179208271,94.75153058599393,False,-66.9819356315928,-48.46186545915615,2.7162000907750183,0,1.0,30.0,180.0,270.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om285,1.2924983842198807,0.3495882313294947,21.014281280631085,169.08455292140135,536.7138514183815,-57.74575021192517,215.40424978807482,,True,484.55454233859007,16,217.39186057425616,-57.74575021265712,-57.74575021119323,-57.631042978294914,-66.95061216567684,9.31956918738193,82.6113105566759,False,-72.79064599347164,-55.98282594373455,3.295377815136904,0,1.0,30.0,180.0,285.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om30,0.8966709602436571,0.1321706796634989,25.099680833043973,269.0480046732186,310.13261967154125,44.54802047895316,317.69802047895314,90.0,False,505.13192240936394,24,426.9321032345736,44.54802047962653,44.548020478279795,23.701577935143455,12.782575883942293,10.919002051201161,296.4054982174091,False,29.50312469740669,25.349794969703826,3.2163175240193462,0,1.0,30.0,180.0,30.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om300,1.1701727691821662,0.2593498698069645,19.12348023421829,181.49296889673,462.3520330562012,-50.49186111171189,222.65813888828808,,True,414.0043396810538,19,257.2873336512886,-50.49186111252903,-50.49186111089473,-52.852656821565496,-60.165767499842005,7.313110678276509,97.7718956370575,False,-65.53675689325837,-51.20443978700513,3.2965902558628604,1,1.0,30.0,180.0,300.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om315,1.083838875739662,0.1779998784219806,19.91308134533596,189.40421275602407,412.1401046833335,-43.75343635920945,229.39656364079053,,True,409.67184483376656,43,294.3473439007289,-43.7534363596346,-43.75343635878431,-47.250455948619006,-54.246458054529285,6.996002105910279,111.8551795685404,False,-58.798332140755925,-45.60223891405864,3.148099545357761,1,1.0,30.0,180.0,315.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om330,1.012560472520885,0.1321298314869147,21.528256118640904,205.54270802497732,372.1596160560141,12.927283657974248,286.07728365797425,64.15806723683289,False,435.7215255674731,19,334.7963364393431,12.965050524494352,12.889516791454138,-4.9801723955428105,-14.312285112225629,9.332112716682818,230.3179133734096,False,-2.1176121235722256,-3.33195536098244,3.069068900060365,1,1.0,30.0,180.0,330.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om345,0.9556987439107736,0.1197523325427579,22.976601285489917,228.1685227101823,341.25522778126503,27.53626981608249,300.6862698160825,90.0,False,464.9647644584484,21,375.2257843512724,27.553444034150388,27.519095598014616,9.324642642354602,-1.0149438178597143,10.339586460214317,260.85093405136706,False,12.491374034536017,10.972859676914972,3.2751207614145885,1,1.0,30.0,180.0,345.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om45,0.8972625003523346,0.1286214883219531,25.350726490098324,276.75941796965594,310.4395652711039,44.26843081789993,317.4184308178999,90.0,False,513.4599403178156,23,426.16866937975783,44.26843082179869,44.26843081400117,23.627330396900817,12.392671645929275,11.234658750971542,295.82124593065396,False,29.22353503635346,25.275547431461188,3.126542779504052,0,1.0,30.0,180.0,45.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om60,0.9001054286604165,0.1214794988160861,25.428390751337947,286.84843064326583,311.9161501216887,43.2401949580452,316.3901949580452,90.0,False,525.2012645151743,23,423.0968111592255,43.24019496430761,43.24019495178279,22.92455551949085,11.272108833470803,11.652446686020046,293.67221234546565,False,28.19529917649873,24.57277255405122,2.8618046320263044,0,1.0,30.0,180.0,60.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om75,0.9064129432751996,0.1075051670467216,25.346170492398144,300.37216229384853,315.20052928149886,41.07528279464773,314.2252827946477,90.0,False,543.6281748726233,23,416.55293721685985,41.07528280231462,41.075282786980836,21.360564986693273,9.101787292992478,12.258777693700795,289.14750663415987,False,26.030387013101254,23.008782021253644,2.713807431330803,1,1.0,30.0,180.0,75.0
