run,Score,Earth_s,Earth_da_AU,Earth_de,n_ejected,ejected_bodies,top_impact_body,top_impact_raw_r,bh_rp_au,bh_vinf_kms,bh_inc_deg,bh_tperi_offset_days,bh_Omega_deg,bh_omega_deg
20260811_184731__rp0p5__vinf25__incm30__toff59132__Om180__om315,6.760820769385344,0.5780326186760152,-0.3439404338848235,0.5985487838975099,2,"Jupiter,Neptune",Neptune,4.463380920544339,0.5,25.0,-30.0,59132.0,180.0,315.0
20260811_184731__rp0p25__vinf25__incm90__toff59132__Om0__om75,6.74975873749071,0.8555189361039383,-1.91522768701549,1.7414778891802274,2,"Earth,Moon",Moon,30.6894720316674,0.25,25.0,-90.0,59132.0,0.0,75.0
20260811_184731__rp0p25__vinf25__inc90__toff59132__Om180__om255,6.749756244835595,0.8555184375718856,-1.9152276408886768,1.741412202354106,2,"Earth,Moon",Moon,30.70263362509143,0.25,25.0,90.0,59132.0,180.0,255.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om0,6.741626987071451,0.5628913552535533,-0.3680544942650253,0.5051351972085257,1,Neptune,Neptune,3.4699221257114634,0.25,25.0,0.0,59132.0,180.0,0.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om90__om90,6.741626987071451,0.5628913552535533,-0.3680544942650253,0.5051351972085257,1,Neptune,Neptune,3.4699221257114634,0.25,25.0,0.0,59132.0,90.0,90.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om180,6.741626987071451,0.5628913552535533,-0.3680544942650253,0.5051351972085257,1,Neptune,Neptune,3.4699221257114634,0.25,25.0,0.0,59132.0,0.0,180.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om270__om270,6.741626986031442,0.5628913550742631,-0.3680544936271501,0.5051351977458635,1,Neptune,Neptune,3.469922125700388,0.25,25.0,0.0,59132.0,270.0,270.0
20260811_184731__rp0p25__vinf25__incm30__toff59132__Om90__om60,6.723900691853137,0.5691131617497647,-0.3713047284457028,0.5206964405183587,1,Neptune,Neptune,3.723209165918896,0.25,25.0,-30.0,59132.0,90.0,60.0
20260811_184731__rp0p25__vinf25__inc30__toff59132__Om270__om240,6.723882330426166,0.5690475015311407,-0.37142932227212,0.5202424574820469,1,Neptune,Neptune,3.72321236822375,0.25,25.0,30.0,59132.0,270.0,240.0
20260811_184731__rp0p25__vinf25__incm30__toff59132__Om270__om255,6.663837150499117,0.531659740983172,-0.3394666864140159,0.4527423527698329,2,"Mars,Neptune",Neptune,4.186231983566217,0.25,25.0,-30.0,59132.0,270.0,255.0
20260811_184731__rp0p25__vinf25__inc30__toff59132__Om90__om75,6.662827394207611,0.5314172443120939,-0.3392039819118191,0.4524252966395388,2,"Mars,Neptune",Neptune,4.1862952123026105,0.25,25.0,30.0,59132.0,90.0,75.0
20260811_184731__rp1__vinf25__incm30__toff59132__Om270__om195,6.659735371285389,0.6987199743216624,-6.611523495591891,1.0868723632880284,4,"Venus,Earth,Neptune,Moon",Moon,40.947088396786796,1.0,25.0,-30.0,59132.0,270.0,195.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om90__om15,6.6597286955321735,0.6987186391708076,-6.6115202340118,1.0868746653411463,4,"Venus,Earth,Neptune,Moon",Moon,40.94403295038733,1.0,25.0,30.0,59132.0,90.0,15.0
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om0__om150,6.648438147242478,0.5453651863482083,-0.3385747176025728,0.4977328922438404,1,Neptune,Neptune,4.0578231249385395,0.25,25.0,60.0,59132.0,0.0,150.0
20260811_184731__rp0p25__vinf25__incm60__toff59132__Om180__om330,6.637120840695201,0.545390395594415,-0.338366953229143,0.4981560310106114,1,Neptune,Neptune,4.05776923397303,0.25,25.0,-60.0,59132.0,180.0,330.0
20260811_184731__rp0p25__vinf25__incm30__toff59132__Om180__om225,6.597800578795779,0.5912285870543049,-0.3451624131640611,0.6433300928481628,1,Mars,Mars,4.137056610552345,0.25,25.0,-30.0,59132.0,180.0,225.0
20260811_184731__rp0p25__vinf25__inc30__toff59132__Om0__om45,6.596858831989657,0.5910689838551191,-0.3447622654864802,0.6433927882527785,1,Mars,Mars,4.136800911061686,0.25,25.0,30.0,59132.0,0.0,45.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om180__om90,6.592579946699054,0.34659905300337646,-0.2148574587720858,0.1841385099282135,2,"Mercury,Uranus",Mercury,87.6003327467469,0.25,25.0,0.0,59132.0,180.0,90.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om0__om270,6.592579946699054,0.34659905300337646,-0.2148574587720858,0.1841385099282135,2,"Mercury,Uranus",Mercury,87.6003327467469,0.25,25.0,0.0,59132.0,0.0,270.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om270__om0,6.592579946699054,0.34659905300337646,-0.2148574587720858,0.1841385099282135,2,"Mercury,Uranus",Mercury,87.6003327467469,0.25,25.0,0.0,59132.0,270.0,0.0
20260811_184731__rp0p25__vinf25__inc0__toff59132__Om90__om180,6.592579946699054,0.34659905300337646,-0.2148574587720858,0.1841385099282135,2,"Mercury,Uranus",Mercury,87.6003327467469,0.25,25.0,0.0,59132.0,90.0,180.0
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om0__om180,6.588916811188668,0.5428088519221174,-0.3520833325592235,0.4666445969427197,2,"Uranus,Neptune",Neptune,3.337907900189253,0.25,25.0,60.0,59132.0,0.0,180.0
20260811_184731__rp0p25__vinf25__incm60__toff59132__Om180__om0,6.579871572982697,0.5406378824715639,-0.3449965978016762,0.4718181251511332,2,"Uranus,Neptune",Neptune,3.337942165235983,0.25,25.0,-60.0,59132.0,180.0,0.0
20260811_184731__rp0p25__vinf25__inc30__toff59132__Om90__om90,6.565376007107137,0.5245109615170052,-0.3460831520938882,0.4192563110158069,2,"Mars,Neptune",Neptune,3.660050797901913,0.25,25.0,30.0,59132.0,90.0,90.0
