run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,absorbed_mean_Wm2,runaway,dT_vs_baseline_K,ddiag_summer_max_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260811_184731__rp1p25__vinf25__inc90__toff59132__Om90__om315,1.0424399606604875,0.066695026232654,22.447087815704744,220.5044363409452,388.75354928031726,-8.33186128785389,264.8181387121461,36.07819997184264,False,408.6691207060321,76,313.808068910102,-8.171600698103626,-8.492121877604157,-30.361961031474177,-37.57342411321091,7.211463081736735,195.6703939106805,False,-23.283354651320856,-25.7890721425724,1.3684911299451583,0,1.25,90.0,90.0,315.0
20260811_184731__rp1p25__vinf25__inc90__toff59132__Om90__om330,1.0529231583649017,0.0875983637410069,23.150868673640637,215.63275126345857,394.6324621374639,-54.00034440337842,219.14965559662156,,True,409.09307360086115,40,308.0899117172399,-53.99813038087052,-54.00255842588633,-57.71834582121555,-65.33795802705168,7.619612205836134,117.07669684289057,False,-68.95183776684539,-53.14545693231378,1.9893126957386924,0,1.25,90.0,90.0,330.0
20260811_184731__rp1p25__vinf25__inc90__toff59132__Om90__om345,1.0397159330729735,0.1043167310890582,24.0925652127719,221.6960786745732,387.23075182127417,-3.6263849292576684,269.5236150707423,42.670233871257594,False,420.438423304882,75,316.47884012410765,-3.386839132974555,-3.8659307255407827,-25.603763005107453,-32.93167083117029,7.327907826062834,203.21557944492224,False,-18.577878292724638,-21.030874116205677,2.410317080972018,0,1.25,90.0,90.0,345.0
20260811_184731__rp1p25__vinf25__inc90__toff59132__Om90__om75,1.3862054248172777,0.2362193764316511,25.674631338642914,86.7355467490989,596.1275339620748,-84.18063210594407,188.9693678940559,,True,473.3129494798266,21,182.2262148468466,-84.19633517982787,-84.16492903206027,-82.75364014728115,-94.56145271959522,11.807812572314077,69.24717263140374,False,-99.13212546941104,-78.18075125837937,3.0664091600952363,0,1.25,90.0,90.0,75.0
20260811_184731__rp1p25__vinf25__inc90__toff59132__Om90__om90,1.0922662970740264,0.0781220296621984,25.678232603584306,114.85833317510604,416.95634809732417,-58.79638291946707,214.3536170805329,,True,517.4700265226362,27,286.06873050405386,-58.79969233375814,-58.793073505176004,-60.24149653254138,-70.54833324136594,10.306836708824555,108.70801069651922,False,-73.74787628293404,-55.668607643639604,1.8150326954383007,0,1.25,90.0,90.0,90.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om0,1.1151771221328446,0.0880683911636933,22.08491385596027,117.61894689154865,430.1437007990463,-61.34356293360799,211.806437066392,,True,448.8493019797743,25,274.66365794600466,-61.34688367332135,-61.340242193894646,-63.85985884934688,-72.88127397037104,9.021415121024162,104.37477853634977,False,-76.29505629707496,-59.286969960445106,2.5587843926397467,0,1.25,-30.0,0.0,0.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om105,1.1872138579272695,0.239431929188993,22.864451142406946,159.5419245776141,472.4884823422731,-67.32307313118018,205.82692686881978,,True,491.9181681597236,23,248.63360934002446,-67.32617742912552,-67.31996883323482,-68.3439374945247,-77.97665438207619,9.632716887551496,94.48278888909053,False,-82.27456649464715,-63.77104860562292,2.577512237499649,0,1.25,-30.0,0.0,105.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om120,1.254852515519329,0.2496100719239508,20.315668129980462,155.58652550946158,513.4365940081656,-73.47169948221836,199.67830051778162,,True,425.23705436523545,22,223.14235183473696,-73.4755221131471,-73.4678768512896,-74.81144940857814,-83.58564365825289,8.77419424967475,84.79657646922814,False,-88.42319284568532,-70.23856051967637,3.048233597616131,0,1.25,-30.0,0.0,120.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om135,1.1707436755237035,0.1849638250047385,20.519986989075026,158.9087776155382,462.6904342401973,-66.39424790727146,206.75575209272853,,True,421.8162906384012,23,252.60009204524724,-66.3964258871384,-66.3920699274045,-68.71097618181547,-77.03061639758438,8.319640215768914,95.9908696093953,False,-81.34574127073843,-64.1380872929137,2.9790733298539034,1,1.25,-30.0,0.0,135.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om15,1.16156540972369,0.1017267785354357,21.7379827604218,132.29116861139025,457.2600888407894,-66.17718173502018,206.9728182649798,,True,411.4366655068611,24,253.4951258430608,-66.18047682427743,-66.1738866457629,-68.38445148414736,-77.04787275976977,8.663421275622412,96.33071823738571,False,-81.12867509848715,-63.81156259524559,2.856094026744735,0,1.25,-30.0,0.0,15.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om150,1.072141053838491,0.124616779670799,21.64187698428547,175.1661539777421,405.4858276038115,-56.11886987052257,217.0311301294774,,True,441.8527972550058,31,298.3272284018726,-56.11873635570166,-56.11900338534349,-59.517858607984714,-67.58764274952041,8.069784141535699,113.36742232091696,False,-71.07036323398954,-54.944969719082934,2.7803528744589823,1,1.25,-30.0,0.0,150.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om165,1.0043957083060546,0.0971977458247538,22.70568563939628,204.557281817782,367.6673482980087,14.153588581379777,287.30358858137976,64.15806723683289,False,458.0923829315649,22,338.8829089944344,14.206389696430637,14.100787466328915,-5.8802062859320445,-15.913526951417404,10.033320665485359,232.50402143889752,False,-0.7979047820871905,-1.3073173970302685,2.682934663750411,1,1.25,-30.0,0.0,165.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om180,0.9639944676577252,0.0952697760537941,23.5086357854661,232.5996606098261,345.7081377000827,26.16256680574461,299.3125668057446,90.0,False,467.93238598765015,23,367.81458780938567,26.237740085832097,26.087393525657117,7.61447214736351,-3.2463487846125196,10.86082093197603,255.42098607600644,False,11.211073442277643,12.187361036265287,2.825715713451456,0,1.25,-30.0,0.0,180.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om195,0.943580173373438,0.1007343610004638,24.06293916286716,250.98268950494915,334.7850072470476,31.347240088113484,304.4972400881135,90.0,False,473.9547454204087,20,384.10968582025237,31.3900449411599,31.304435235067068,12.60572995314476,1.679580364510594,10.926149588634166,266.8728153760487,False,16.395746724646514,17.178618842046536,2.723277147783977,0,1.25,-30.0,0.0,195.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om210,0.9337757027719078,0.1031784513027211,24.44567835265377,264.92608285336826,329.58060315289185,33.72605225263368,306.87605225263366,90.0,False,480.61199484169646,20,392.31696879007114,33.77556120557353,33.676543299693826,14.950155504714123,3.865679472968044,11.08447603174608,272.50143745215297,False,18.774558889166713,19.523044393615898,2.8310762764835875,0,1.25,-30.0,0.0,210.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om225,0.9302768396623826,0.1012988568630627,24.687586169900605,276.3218989089371,327.7299287675507,34.53558809455051,307.6855880945505,90.0,False,490.09106624800427,20,395.19685061384934,34.584972142454674,34.48620404664635,15.840735209511008,4.466360337741985,11.374374871769023,274.4543789845685,False,19.584094731083546,20.413624098412782,2.574999998150706,0,1.25,-30.0,0.0,225.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om240,0.9307020370470672,0.0966232004807154,24.79849559707509,287.2756016722004,327.9546454719445,34.381796649540895,307.53179664954087,90.0,False,500.99390847736674,20,394.651378101295,34.42653424006692,34.33705905901487,15.816594177436409,4.087471390249491,11.729122787186917,274.0537034221587,False,19.43030328607393,20.389483066338187,2.4128653728149607,0,1.25,-30.0,0.0,240.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om255,0.9335710194399452,0.087601524936627,24.752089204006275,299.1932015890867,329.47224314917054,33.60761850256947,306.75761850256947,90.0,False,514.4333133926623,20,391.9008734628686,33.64336726390009,33.571869741238864,15.201376184149565,3.0546450514027534,12.146731132746812,272.1527866471794,False,18.656125139102507,19.77426507305134,2.527604791032194,1,1.25,-30.0,0.0,255.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om270,0.9399648799786446,0.080237952288644,24.464392765978,312.5849107748928,332.8627764147116,32.00888800442537,305.15888800442536,90.0,False,522.0181905778959,20,386.3468902797481,32.03444961306112,31.983326395789618,13.674574675702276,1.229805544335518,12.444769131366758,268.351071617599,False,17.057394640958407,18.247463564604054,2.40651481990111,0,1.25,-30.0,0.0,270.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om285,0.8973673287743215,0.0298528199900339,23.33214804644571,21.97200132576966,310.4939704873468,41.821356603429294,314.9713566034293,90.0,False,625.7752207209343,19,422.7184780332864,41.814492662720085,41.82822054413851,23.387144020418333,9.76109289212253,13.626051128295803,293.84609026149184,False,26.869863239962328,27.96003290932011,2.772702442486829,0,1.25,-30.0,0.0,285.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om30,1.1704387765492257,0.1035359075038844,21.83945376844249,143.84203588048712,462.5096970005864,-67.0592691872968,206.09073081270316,,True,398.2210327748655,23,249.7129394886235,-67.06183203750969,-67.0567063370839,-69.23294788076997,-77.68742300001458,8.454475119244606,94.89339783157222,False,-82.01076255076377,-64.6600589918682,2.822204459360249,0,1.25,-30.0,0.0,30.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om300,0.960262467827426,0.056213474617733,24.149962363434337,0.7525284320774112,343.7025247317653,26.752222656595805,299.90222265659577,90.0,False,555.421534212729,21,369.5774685886586,26.740759240993388,26.76368607219823,8.992720629005026,-4.413884410871286,13.406605039876311,256.57706123090827,False,11.800729293128837,13.565609517906802,2.470740464586692,0,1.25,-30.0,0.0,300.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om315,0.9815815834795096,0.0522469718814628,23.70049474422405,34.02928454021586,355.21180670990304,20.866557971161985,294.01655797116194,75.16488841802429,False,551.6778388668052,21,353.6216922837715,20.82505455534146,20.908061386982506,2.74733576422764,-10.511862636110855,13.259198400338494,244.7191669024666,False,5.915064607695017,7.320224653129416,2.3654496808592222,0,1.25,-30.0,0.0,315.0
20260811_184731__rp1p25__vinf25__incm30__toff59132__Om0__om330,1.0150908085503996,0.0579004514278822,23.195213957667384,67.70213002892599,373.5554985350111,9.52730917177115,282.6773091717711,56.4426902380793,False,530.7113217217636,34,330.76347358494706,9.436881601811919,9.617736741730383,-11.124137662051616,-22.25679723034935,11.132659568297733,224.54107746570315,False,-5.424184191695817,-6.55124877314984,2.3181935740616515,0,1.25,-30.0,0.0,330.0
