run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,dT_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260724_230314__rp0p5__vinf25__inc60__toff56210__Om90__om90,0.7874263376455314,0.1800769832015575,20.97508781296091,244.1760085307929,255.21881958088628,88.56465590181885,361.71465590181884,90.0,False,574.176638039167,30,557.8745521711235,88.56465590017721,88.56465590346049,56.91299879660053,48.296333202853745,8.616665593746788,73.52490210834193,4.904667972631945,2,0.5,60.0,90.0,90.0
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om0__om0,1.4850176195995215,0.2622463230582087,26.02160166413025,93.34051747859068,660.9904733556668,-68.20224566699657,204.9477543330034,,True,447.4803837126108,13,159.88479790048711,-68.20224566707769,-68.20224566691545,-65.33496122429015,-77.13811651786105,11.803155293570896,-83.2419994604735,3.966908415062252,0,0.5,90.0,0.0,0.0
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om0__om180,0.7836171305664789,0.2617397128050055,20.4018810423579,249.16973779244503,253.369113907298,94.04345994825685,367.1934599482568,90.0,False,538.3956030814549,30,574.1173227680986,94.04345994664052,94.0434599498732,60.055999144835695,53.67540311544139,6.3805960293943045,79.00370615477993,4.623211849987614,1,0.5,90.0,0.0,180.0
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om0__om270,1.100668803249636,0.0361184513754514,25.80472018641096,69.60502767176855,421.7768861529272,-46.1736158133616,226.97638418663837,,True,471.808252894142,25,281.0400940550573,-46.17361581356571,-46.17361581315749,-47.43560816774041,-57.17054195193536,9.73493378419495,-61.21336960683851,2.593754997092573,0,0.5,90.0,0.0,270.0
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om0__om90,1.0050844265356893,0.2539988550035244,21.957235554118373,201.3231905153232,368.0455796163832,18.04584657378319,291.1958465737832,75.16488841802429,False,519.6317220202873,17,348.23685286980856,18.117380893528054,17.974312254038313,1.1996794299833387,-8.930906547513528,10.130585977496867,3.006092780306277,3.106983368891374,0,0.5,90.0,0.0,90.0
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om180__om0,0.8645203853524585,0.2321487638519987,24.68168020066499,253.158804727825,293.6031075510021,58.248412193860155,331.3984121938601,90.0,False,484.5530888072634,25,468.0341478258321,58.24841219142455,58.24841219629578,33.91384826159295,25.314110107817708,8.599738153775245,43.20865840038324,3.811967206796095,1,0.5,90.0,180.0,0.0
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om180__om180,1.4755584488251072,0.3282580088548426,20.38170114499953,88.6069032913254,654.6850384703072,-67.19165566838288,205.9583443316171,,True,453.4942686904432,13,165.4408791797612,-67.19165566843824,-67.19165566832756,-65.46351531956654,-76.54464899614821,11.081133676581672,-82.2314094618598,4.143235648931238,0,0.5,90.0,180.0,180.0
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om180__om270,0.964681414334724,0.0827754640390677,29.470693924398955,179.4206182538335,346.07773322248954,24.128654244618772,297.27865424461874,90.0,False,666.4304409266156,20,366.8793569414493,24.14179771515524,24.115510774082296,11.643583699985532,-4.091419576247371,15.735003276232902,9.088900451141859,2.0700404271832014,0,0.5,90.0,180.0,270.0
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om180__om90,1.0557343743139644,0.1465682744952532,23.04291433326329,197.18859024481824,396.2139696283615,0.38281237414483243,273.5328123741448,48.11140308495899,False,440.82067922783904,26,308.60606530316767,0.46523126825217415,0.3003934800374903,-18.572443718869838,-26.157118875390946,7.584675156521108,-14.656941419332082,2.388885630025762,0,0.5,90.0,180.0,90.0
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om270__om0,1.0998724157931443,0.100392026531515,26.094106511847045,11.253154895711026,421.31920480458206,-45.87330091400242,227.27669908599756,,True,480.88525643944007,25,282.6917587709815,-45.87330091394917,-45.873300914055676,-47.27136496837677,-57.242762769632634,9.971397801255861,-60.91305470747933,3.3937013717554487,0,0.5,90.0,270.0,0.0
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om270__om180,0.9577640835190414,0.2837127469057628,22.48903744810599,167.4858589882984,342.3620440120564,31.455227030529542,304.60522703052953,90.0,False,788.6527731962733,21,386.8151738591256,31.455227022910325,31.45522703814876,15.468152367272454,0.36047607921446834,15.107676288057986,16.41547323705263,4.5776925736251055,2,0.5,90.0,270.0,180.0
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om270__om270,1.0276707448583182,0.0898410307483266,30.409712528455607,48.707183657192765,380.5211324392204,7.192913302472972,280.34291330247294,58.82116446134409,False,683.6440679219307,23,323.4818686016322,7.047289790907472,7.338536814038476,-6.226974176726103,-21.347093737998566,15.120119561272464,-7.846840491003942,2.3426558591835858,0,0.5,90.0,270.0,270.0
