run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_K,T_equator_K,T_pole_K,T_max_anywhere_K,T_min_anywhere_K,equator_seasonal_range_K,pressure_mean_Pa,pressure_min_Pa,pressure_max_Pa,pressure_swing_frac,peak_cap_kg_m2,frac_year_equator_above_273K,frac_year_liquid_water_possible,spinup_years,S_mean_Wm2,collapsed_fraction,min_airborne_fraction,atmosphere_collapsed,permanently_collapsed
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om270__om0,1.9865227479918013,0.186867789247113,27.993871949619905,144.36728145170534,1022.6692702840896,176.8015262196339,191.86275457495756,138.57073662977749,223.53397516505666,132.93099304351784,37.85721622026488,163.76825562309986,55.35185093853933,263.91045729241523,0.7902627599284215,7663.6597531885145,0.0,0.0,96,87.76660400333124,0.0,0.0745981818578697,False,False
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om270__om180,1.2375653977075949,0.4067680325052607,17.299633050901758,266.7644578385184,502.860044344009,225.9497242048015,243.01685334507317,177.8659510455684,326.87221360567906,147.29270988020454,111.94756177962145,666.2027967891846,571.3788112519653,734.5377584467051,0.222124656382219,943.8976576596053,0.23333333333333334,0.20555555555555555,3,243.18584891330812,0.0,0.7700523062694951,False,False
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om270__om270,1.8087975875241995,0.1973572290820563,23.82041827134933,148.18160163011453,888.5458595454279,186.42785866748432,201.85937512581322,140.66021877231051,231.9541650019234,137.7553423504498,41.397325401948166,213.70062619728424,128.01478119278502,296.49126229428197,0.568234219780399,8117.57383983512,0.0,0.0,94,106.08284883306982,0.0,0.17252665928946764,False,False
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om270__om90,2.877552876973005,0.555461657257177,47.15385049974479,233.62028438241535,1782.9118092936842,136.50275649473036,146.59814443491612,127.78517689093724,252.89630197129418,76.19045174966229,140.8540832890014,153.91597492652963,0.0,659.4873730351497,1.0,1011.7319804905835,0.0,0.0,4,49.41596038182785,0.36666666666666664,-0.38276625192679403,True,False
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om90__om0,1.443909027778112,0.3609709145275944,21.355473989651408,252.4021774889109,633.7305448520499,208.72300821248533,224.83350916826996,162.7178545543938,294.02802078070505,145.75574727363548,89.58874475953846,608.0114717114964,454.96321347693316,719.5165904803862,0.3676821083817172,1074.5592619978827,0.1111111111111111,0.08333333333333333,3,174.99826204669992,0.0,0.6131579696454625,False,False
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om90__om180,2.036342364651709,0.228198147030249,25.28486332119185,159.72435212407512,1061.3804578960928,175.1312155906488,189.8397784393337,134.7773545111815,221.5343970835169,127.41578907101086,45.38228884724656,94.50190080958788,19.63725549014536,183.94345464372208,0.8932429776956156,7253.7212719648,0.0,0.0,46,84.2770670941253,0.0,0.02646530389507462,False,False
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om90__om270,1.719144415462126,0.0916259421749964,25.18795030359972,139.48668307041737,823.3100817518507,191.09420683746913,207.15916476615695,145.18397644552314,227.13558858481093,143.98912180335125,20.71653796026567,419.2739994745569,348.0435503417707,475.40866757417353,0.26790659472469813,4088.4956614797293,0.0,0.0,116,115.61232282035212,0.0,0.4690613886007692,False,False
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om90__om90,1.3703794828768046,0.2563794570732545,35.95478963036672,267.20480627480845,585.9440709189427,211.49823034186676,227.93865719177728,186.6793906020896,317.23548626689876,144.32584418708092,61.832634919244796,566.8960752438838,366.4615734338339,711.4616734445586,0.4849173369246983,926.0516893497535,0.0,0.0,3,187.44779474255913,0.0,0.4938835221480242,False,False
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om0__om0,2.6420920232841545,0.4337166237745111,29.37227712567752,194.68016907231063,1568.6165838215877,149.6920058732036,164.59818088372475,118.044592502363,226.1753456342257,76.19045174966229,83.52156562197962,54.758956065591235,0.0,196.4381484254844,1.0,6089.4982061035935,0.0,0.0,51,54.094571793279115,0.31666666666666665,-0.141542323310478,True,False
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om0__om180,1.2674313503752517,0.21129660935286,28.20814486664645,306.93603600309655,521.1725822612182,222.1404871136853,239.8791314883756,183.38944348811154,298.8211579608918,146.86101181133495,54.985098492562884,636.2211858311513,536.2176170216732,722.0481134126926,0.25736580837073175,797.8837779095164,0.0,0.0,2,216.70410513539358,0.0,0.7226652520507724,False,False
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om0__om270,1.960460980491739,0.1358303623820028,30.81599220758392,177.27391646859775,1002.6103801956164,177.18179407329583,192.6969918342237,141.89706753269328,215.38555756321304,139.93379010332916,26.927051043274446,256.5999082191183,183.42340320143663,364.3107685132575,0.4965194030635366,4715.724921202698,0.0,0.0,91,89.35636419555561,0.0,0.24720135202349947,False,False
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om0__om90,1.1827685980947178,0.4414406829391247,21.716711200629625,233.5753157607225,469.8341397448572,229.8242545042521,247.3018163532419,182.10962933837422,345.45810291340064,147.17858736380006,127.41507546955745,668.7621652504379,561.8858364735164,740.2435300096213,0.24094461660986988,881.5641398807952,0.25555555555555554,0.17777777777777778,3,271.06005652338905,0.0,0.7572585397217201,False,False
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om180__om0,1.2630671323544251,0.2019446240122898,24.561327338183908,299.7027260323099,518.4830263395751,223.51630184552795,241.24702206325816,178.8946538905942,288.9068800003446,147.24567500269697,51.739463754396965,652.4357762811285,567.4488507212375,719.4304173207089,0.2112526283854924,799.8012502755716,0.0,0.0,2,217.76421918021597,0.0,0.764755863505711,False,False
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om180__om180,1.2947763524264355,0.4346465374996216,38.34168469968407,247.42049526026017,538.1297852479547,215.88970191994454,231.40846860635773,200.961937879857,392.7227038226689,142.76521741507162,119.11920703795576,554.7727884114662,287.96778548284294,737.1740501685666,0.6093625577066983,977.9792177059578,0.20555555555555555,0.13333333333333333,3,225.35963501282782,0.0,0.38809674593375054,False,False
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om180__om270,1.0088837059164502,0.6619508136806836,26.44904850111398,292.759918262931,370.131932132344,242.7965708146377,260.9984028727355,232.42728184771727,616.3700697223321,146.36498179972082,255.07832658115126,625.1274937547754,498.24929409171307,742.0,0.3285049944855619,859.8255277710861,0.2833333333333333,0.20555555555555555,4,445.9815445206799,0.0,0.6714950055144381,False,False
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om180__om90,2.196473871614552,0.2098098476454568,24.81167688070404,145.25120136162346,1189.0057489903506,168.50283226586745,182.94240267031535,127.30693198366549,212.9317025789304,76.19045174966229,40.05795207543861,51.66580534009656,0.0,103.33311040931996,1.0,7727.703472613352,0.0,0.0,48,72.13095577147999,0.1388888888888889,-0.022688830519744796,True,False
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om270__om0,2.163023153362264,0.2064843667491881,26.783469919741272,156.6682387053376,1161.9478713615954,169.4215152265547,184.01893525173432,132.72146117119527,213.40783404089845,122.41586073628201,39.75228204061735,74.58812998070893,7.079958211210212,156.59631957582204,0.9547884763167618,4721.260989467758,0.0,0.0,20,74.32539130749801,0.03888888888888889,0.009541722656617568,True,False
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om270__om180,1.1483857426365922,0.5231126243096372,22.851126069398926,277.6676498299215,449.4967752431462,231.70683137989772,248.97319190296093,204.601214447448,410.35705755375625,146.44451635446558,161.59308843461574,635.4029224587193,504.16797240469026,742.0,0.3205283390772369,940.545265359269,0.26666666666666666,0.20555555555555555,2,302.72523709751056,0.0,0.6794716609227633,False,False
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om270__om270,1.2132413475179329,0.2577498663036863,30.94434795068173,304.25975984077115,488.1077423115712,226.02929264824675,244.01446999293935,192.7547860248182,321.7159901018148,146.57694037986136,69.074739065881,631.104718577989,514.1642717233676,730.8984288775048,0.29653115753305415,788.5501847475375,0.17222222222222222,0.17222222222222222,2,239.23870683339686,0.0,0.6929437624304147,False,False
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om270__om90,1.9258690213904508,0.2195085626885378,33.00574643566195,164.34765490320612,976.1914810878432,178.10753364742254,193.60626680720512,146.9750641085626,230.38940346383043,141.60345159049928,45.095007506987365,390.853393507992,239.8369772100491,575.5760348422422,0.5833096538222178,1087.2475095881139,0.0,0.0,4,94.03036906856032,0.0,0.32323042750680475,False,False
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om90__om0,1.1336758323287817,0.4532915220766763,20.14375225247716,245.55948457696672,440.8879457631609,234.88169750931348,252.65428139909778,189.72434580024668,357.0090624782924,147.34178003592035,134.37799674664114,675.1114907538536,575.5051374721818,740.879823903346,0.2232139155307039,866.1613418496783,0.2833333333333333,0.21666666666666667,3,297.00658797287764,0.0,0.775613392819652,False,False
