run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_K,T_equator_K,T_pole_K,T_max_anywhere_K,T_min_anywhere_K,equator_seasonal_range_K,pressure_mean_Pa,pressure_min_Pa,pressure_max_Pa,pressure_swing_frac,peak_cap_kg_m2,frac_year_equator_above_273K,frac_year_above_triple_point,frac_year_liquid_water_possible,frac_year_liquid_water_best_lat,best_water_lat_deg,spinup_years,S_mean_Wm2,collapsed_fraction,min_airborne_fraction,atmosphere_collapsed,permanently_collapsed
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om270__om135,1.168558516655183,0.4291101709559336,29.0943680589378,226.9479545383475,461.3925627577174,229.57234418233529,247.21369616937451,191.5401354269254,369.2365428491907,146.53163155296232,124.12431974932385,651.273779151419,510.72397146549287,741.2739114913126,0.3110185539404642,845.7667852775302,0.25,0.16111111111111112,0.005555555555555556,0.011111111111111112,13.493398821551693,3,275.85965963729825,0.0,0.6883072391718232,False,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om270__om15,1.8358610547547232,0.2502431201040252,20.4978340247184,112.08576898423657,908.5620774597984,185.64154353202082,200.60475536481513,136.13441275975208,239.91162911893014,129.2238151619079,51.75749166944334,114.73144643883433,27.851707161102983,184.0533030376075,0.8486758634512956,10195.718456919765,0.0,0.0,0.0,0.0,-81.4509211694784,73,104.2704023646722,0.0,0.0375359934785755,False,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om270__om150,1.2425977500147818,0.3700344222809753,30.03467837460173,227.58504955864768,505.9303544486241,222.93835650811917,240.2604529558796,185.4266499575805,337.8648312515265,146.19495359804964,100.78875701104509,634.4613578482672,485.80746900894167,736.8426299551289,0.3406903329703853,870.782878191363,0.2111111111111111,0.13333333333333333,0.005555555555555556,0.011111111111111112,0.6366328722676353,3,237.19900274410517,0.0,0.654727047181862,False,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om270__om165,1.3311473177912403,0.3149891085874484,32.70357960096943,230.3628488069572,560.962815876037,215.13292742405278,231.94117293315367,181.72248514074607,321.0488353130039,145.41865306940878,81.80785492829907,603.1757994279212,432.50872851021376,728.6429757475247,0.40641885957042656,905.7641421022267,0.12222222222222222,0.06666666666666667,0.011111111111111112,0.011111111111111112,-13.493398821551686,3,202.31872284493178,0.0,0.5828958605258945,False,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om270__om180,1.4163508684555746,0.2673698769159809,36.43665265323448,234.4592382990045,615.6745081537058,207.83727620632777,224.107600073447,179.5816570578167,310.00087951727306,144.32090861299594,68.01524475372614,563.3635532196315,366.1853282605505,716.0035525150438,0.48857051480501335,932.9419012812664,0.0,0.0,0.0,0.027777777777777776,-16.127620213160757,3,176.02013575225567,0.0,0.4935112240708227,False,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om270__om195,1.5664314630660912,0.1860424873793081,41.4044021966987,249.0700864848028,716.0807333692804,196.54665275748,211.97062769682907,175.1201286910964,289.6767815063904,142.25104656509865,48.05924093999511,490.2649217686186,265.6752124407277,675.3327887786637,0.6066010463949187,964.9826615667304,0.0,0.0,0.0,0.022222222222222223,-52.081797343554456,3,141.13162660614643,0.0,0.3580528469551587,False,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om270__om210,1.9616105615728905,0.1719827892831844,44.03214727393432,322.60228609061465,1003.4923800543936,174.3326002165232,188.769205066825,159.12512853131875,251.00671272616066,136.28236300529758,42.472594925002575,318.5262147182771,99.72817274027919,526.4778625120894,0.8105748031561552,1044.2928026720494,0.0,0.0,0.0,0.0,-81.4509211694784,4,89.76194461185803,0.0,0.13440454547207437,False,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om270__om225,2.518750062620581,0.3234007849769081,43.14385955420756,353.2715633918415,1460.0660535539846,150.38652788955844,166.3137725906082,136.18281666694708,213.98912825136983,76.19045174966229,60.23368180555934,182.47960947885701,0.0,474.97147536286445,1.0,1038.906801379216,0.0,0.0,0.0,0.0,-81.4509211694784,5,56.67826488702626,0.16666666666666666,-0.07634788655112335,True,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om270__om240,2.944154619468132,0.4120905573690817,41.27015272768512,3.180325856469057,1845.16757333898,136.91341284437922,153.49026422430632,117.90041643370472,209.31343400102872,76.19045174966229,75.5015710887152,85.28326427325416,0.0,314.35138236510613,1.0,2696.0695512528832,0.0,0.0,0.0,0.0,-81.4509211694784,39,43.08146002068025,0.31666666666666665,-0.2417468869368855,True,False
20260811_184731__rp0p25__vinf25__inc60__toff59132__Om270__om255,3.083974856756913,0.4440113325760407,39.40867628395687,11.21146305405906,1978.1587222600465,134.36047693985356,150.20405939468435,116.54884052620383,211.77829940320981,76.19045174966229,80.32649626057926,58.044901911045415,0.0,253.97838101528637,1.0,6172.387475372823,0.0,0.0,0.0,0.0,-81.4509211694784,139,39.92622096880582,0.4222222222222222,-0.2440526214583727,True,False
