run,a_au_before,ecc_before,obliquity_deg_before,lon_perihelion_deg_before,a_au_after,ecc_after,obliquity_deg_after,lon_perihelion_deg_after,bound_after,days_per_year_after
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om15,1.523599735446838,0.09339056864183712,25.178065033159722,250.4605431200665,2.073437038226658,0.20411442161793233,25.17544010937537,8.881012704239373,True,1090.5138120766328
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om150,1.52359915762655,0.09338814281979745,25.178057262592507,250.4602341320235,1.4400233533644924,0.27163107293724126,24.78518156545398,161.65493729069146,True,631.1741374580265
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om165,1.5235987781445997,0.09339300462389476,25.17806467051677,250.46066862233988,1.3369176202967432,0.2622026127356719,23.296726960051366,181.24851251776926,True,564.6142868119701
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om180,1.5235967904779966,0.0933905669571433,25.17804827166846,250.46022590566741,1.2684177755319987,0.26104769947205647,22.02160646726472,195.16282479245615,True,521.7811332828236
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om195,1.523599671016188,0.09339057780352865,25.1780655587385,250.46051742162516,1.225750860958699,0.26205148241491505,20.83233502927483,206.7401607580456,True,495.67635535882476
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om210,1.5235936234418057,0.0933906236683049,25.17802994994204,250.4598216810148,1.2080596083108361,0.25079273692827814,19.448036030104717,212.2070002305522,True,484.98403014651524
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om225,1.523599763419744,0.09339069798699075,25.17806560501944,250.46058537649483,1.228318237147689,0.22097347875981377,17.89464518205236,212.95062912481325,True,497.2344866027088
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om240,1.52359361166749,0.09339061906038099,25.178030836407267,250.4598166175473,1.2905333081346466,0.16558000503488757,16.399819061887857,212.29212422829005,True,535.4867378308463
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om255,1.5235996616842886,0.09339058331877058,25.178065107917316,250.4605139443122,1.3972352906691612,0.08839322043748621,15.462698710097806,211.5436926955021,True,603.2526130585401
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om270,1.523596625711435,0.09339060881568628,25.178047297163822,250.46016126483204,1.5458847725412803,0.018435268420634025,15.32293651022756,290.2459403991377,True,702.0379206601242
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om285,1.523597727001473,0.0933881397956844,25.178048066223717,250.4600924330839,1.7235986197028597,0.09037910433089662,16.119316178400993,354.9490002572806,True,826.5118769909834
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om30,1.523599746200431,0.09339056459975913,25.17806526160609,250.46054726233132,1.9638488421215008,0.16545841745742815,26.290004351414954,16.75683371787669,True,1005.2104107279167
